step: 210, loss: 3.2532, flops: 841320549.25
step: 211, loss: 3.0343, flops: 837709608.14
step: 212, loss: 3.0716, flops: 834194059.88
step: 213, loss: 3.0838, flops: 830705433.77
step: 214, loss: 2.9684, flops: 827189379.61
step: 215, loss: 2.9846, flops: 823673924.74
step: 216, loss: 3.1709, flops: 820236901.00
step: 217, loss: 3.1470, flops: 816843061.20
step: 218, loss: 3.1136, flops: 813433021.17
step: 219, loss: 3.1485, flops: 810080758.62
step: 220, loss: 3.0494, flops: 806798465.12
step: 221, loss: 3.0372, flops: 803533779.74
step: 222, loss: 3.1569, flops: 800221660.40
step: 223, loss: 2.8932, flops: 796993370.67
step: 224, loss: 3.0088, flops: 793761486.63
step: 225, loss: 3.0278, flops: 790576726.53
step: 226, loss: 3.0490, flops: 787447435.00
step: 227, loss: 3.2308, flops: 784365702.69
step: 228, loss: 2.9652, flops: 781285602.69
step: 229, loss: 3.0637, flops: 778191642.14
step: 230, loss: 3.0093, flops: 775041582.56
step: 231, loss: 2.9125, flops: 772037476.88
step: 232, loss: 3.0188, flops: 769071638.24
step: 233, loss: 3.1413, flops: 766113545.69
step: 234, loss: 2.8967, flops: 763149631.62
step: 235, loss: 3.1247, flops: 760161449.42
step: 236, loss: 3.0494, flops: 757260854.63
step: 237, loss: 3.0561, flops: 754355924.50
step: 238, loss: 3.1750, flops: 751340280.96
step: 239, loss: 2.9856, flops: 748431700.96
step: 240, loss: 3.1298, flops: 745554616.77
step: 241, loss: 2.9399, flops: 742767029.93
step: 242, loss: 3.0222, flops: 739976773.14
step: 243, loss: 3.2256, flops: 737160050.29
step: 244, loss: 3.0143, flops: 734401514.06
step: 245, loss: 2.9676, flops: 731598904.17
step: 246, loss: 2.8694, flops: 728932922.10
step: 247, loss: 3.0845, flops: 726245984.46
step: 248, loss: 3.0474, flops: 723575848.26
step: 249, loss: 3.0466, flops: 720900381.37
step: 250, loss: 2.9903, flops: 718255404.51
step: 251, loss: 3.0363, flops: 715656644.53
step: 252, loss: 3.1707, flops: 713054859.04
step: 253, loss: 3.1426, flops: 710470122.30
step: 254, loss: 2.9724, flops: 707910695.69
step: 255, loss: 2.8372, flops: 705307282.18
step: 256, loss: 3.0615, flops: 702744587.46
step: 257, loss: 3.0553, flops: 700241171.24
step: 258, loss: 3.0695, flops: 697760489.37
step: 259, loss: 3.1487, flops: 695273181.74
step: 260, loss: 3.0069, flops: 692780555.30
step: 261, loss: 3.1038, flops: 690333661.93
step: 262, loss: 2.9629, flops: 687937269.13
step: 263, loss: 3.0223, flops: 685569430.49
step: 264, loss: 3.2580, flops: 683168128.99
step: 265, loss: 2.9670, flops: 680802956.01
step: 266, loss: 3.1140, flops: 678503595.69
step: 267, loss: 3.0234, flops: 676162401.36
step: 268, loss: 2.9787, flops: 673834994.57
step: 269, loss: 3.3289, flops: 671551818.78
step: 270, loss: 3.0416, flops: 669284063.05
step: 271, loss: 2.9842, flops: 667043814.41
step: 272, loss: 3.1373, flops: 664796668.25
step: 273, loss: 3.0163, flops: 662553874.91
step: 274, loss: 3.2033, flops: 660324386.09
step: 275, loss: 3.0369, flops: 658106982.43
step: 276, loss: 3.0183, flops: 655909243.95
step: 277, loss: 2.9186, flops: 653732885.82
step: 278, loss: 3.0831, flops: 651572653.19
step: 279, loss: 2.9632, flops: 649417839.40
step: 280, loss: 3.1219, flops: 647251400.54
step: 281, loss: 3.0176, flops: 645093218.60
step: 282, loss: 3.3395, flops: 642989826.28
step: 283, loss: 3.1682, flops: 640917687.51
step: 284, loss: 3.1096, flops: 638841392.74
step: 285, loss: 3.2789, flops: 636721486.71
step: 286, loss: 3.0861, flops: 634682920.37
step: 287, loss: 2.9616, flops: 632662260.77
step: 288, loss: 3.3016, flops: 630656048.08
step: 289, loss: 2.9463, flops: 628643790.96
step: 290, loss: 2.9722, flops: 626634529.90
step: 291, loss: 2.9946, flops: 624663719.52
step: 292, loss: 3.1268, flops: 622644022.40
step: 293, loss: 2.9700, flops: 620698782.92
step: 294, loss: 2.9589, flops: 618765269.88
step: 295, loss: 3.0768, flops: 616796268.42
step: 296, loss: 3.0931, flops: 614922597.40
step: 297, loss: 2.9093, flops: 612978128.92
step: 298, loss: 3.0559, flops: 611063232.53
step: 299, loss: 2.8867, flops: 609180873.31
step: 300, loss: 2.9455, flops: 607277940.62
step: 301, loss: 2.8224, flops: 605435977.47
step: 302, loss: 3.1519, flops: 603592901.93
step: 303, loss: 3.0129, flops: 601775590.79
step: 304, loss: 3.1521, flops: 599961669.97
step: 305, loss: 3.1680, flops: 598129847.65
step: 306, loss: 3.0215, flops: 596338530.94
step: 307, loss: 3.1402, flops: 594520628.34
step: 308, loss: 3.1267, flops: 592760679.51
step: 309, loss: 3.1009, flops: 590990652.66
step: 310, loss: 2.9580, flops: 589225327.19
step: 311, loss: 2.8583, flops: 587472802.71
step: 312, loss: 3.1265, flops: 585740287.33
step: 313, loss: 3.0759, flops: 584032385.92
step: 314, loss: 3.1678, flops: 582311953.01
step: 315, loss: 2.9684, flops: 580569679.46
step: 316, loss: 2.9991, flops: 578855044.29
step: 317, loss: 2.8756, flops: 577181060.42
step: 318, loss: 2.8623, flops: 575509811.02
step: 319, loss: 2.9858, flops: 573808615.27
step: 320, loss: 3.1478, flops: 572127954.85
step: 321, loss: 2.9210, flops: 570463909.42
step: 322, loss: 3.0579, flops: 568822540.03
step: 323, loss: 2.9888, flops: 567110605.39
step: 324, loss: 3.0316, flops: 565484374.96
step: 325, loss: 3.0348, flops: 563873762.93
step: 326, loss: 2.9994, flops: 562282448.57
step: 327, loss: 3.2631, flops: 560625610.63
step: 328, loss: 3.1115, flops: 559010989.14
step: 329, loss: 3.1362, flops: 557412765.62
step: 330, loss: 3.0726, flops: 555820663.80
step: 331, loss: 2.8725, flops: 554227457.16
step: 332, loss: 2.9153, flops: 552679931.75
step: 333, loss: 2.9813, flops: 551148608.56
step: 334, loss: 3.0644, flops: 549616512.15
step: 335, loss: 3.0520, flops: 548067348.45
step: 336, loss: 3.0168, flops: 546510913.00
step: 337, loss: 3.0337, flops: 545000219.06
step: 338, loss: 2.9980, flops: 543495746.77
step: 339, loss: 2.9791, flops: 542006443.44
step: 340, loss: 3.2914, flops: 540503247.60
step: 341, loss: 2.9279, flops: 538989566.38
step: 342, loss: 3.0010, flops: 537510248.50
step: 343, loss: 2.9998, flops: 536051473.99
step: 344, loss: 2.8561, flops: 534598994.24
step: 345, loss: 3.1552, flops: 533127280.71
step: 346, loss: 2.8841, flops: 531691879.65
step: 347, loss: 3.1641, flops: 530280950.84
step: 348, loss: 3.0406, flops: 528845424.09
step: 349, loss: 3.1085, flops: 527413538.18
step: 350, loss: 2.9468, flops: 525988539.35
step: 351, loss: 3.0553, flops: 524567854.95
step: 352, loss: 3.0116, flops: 523180206.97
step: 353, loss: 3.1075, flops: 521785175.48
step: 354, loss: 3.0757, flops: 520388594.44
step: 355, loss: 2.9328, flops: 519019234.43
step: 356, loss: 2.9630, flops: 517632076.16
step: 357, loss: 3.1755, flops: 516262090.88
step: 358, loss: 3.1313, flops: 514911091.39
step: 359, loss: 3.0539, flops: 513543357.75
step: 360, loss: 3.1286, flops: 512198243.45
step: 361, loss: 2.9923, flops: 510842870.34
step: 362, loss: 3.0167, flops: 509539230.47
step: 363, loss: 2.9630, flops: 508240121.35
step: 364, loss: 3.0264, flops: 506756895.61
step: 365, loss: 2.8843, flops: 505432993.62
step: 366, loss: 2.9139, flops: 504135415.61
step: 367, loss: 3.1287, flops: 502857109.61
step: 368, loss: 3.1177, flops: 501586039.04
step: 369, loss: 2.9419, flops: 500317551.55
step: 370, loss: 2.9450, flops: 499025262.05
step: 371, loss: 2.9441, flops: 497730289.77
step: 372, loss: 2.9385, flops: 496484973.08
step: 373, loss: 2.8683, flops: 495152033.53
step: 374, loss: 3.0421, flops: 493901172.24
step: 375, loss: 3.0696, flops: 492666014.18
step: 376, loss: 3.0931, flops: 491434803.44
step: 377, loss: 3.0147, flops: 490223078.21
step: 378, loss: 3.1527, flops: 488959928.31
step: 379, loss: 3.2247, flops: 487759513.41
step: 380, loss: 2.8974, flops: 486549055.21
step: 381, loss: 3.0966, flops: 485345790.34
step: 382, loss: 3.1292, flops: 484139862.93
step: 383, loss: 3.0305, flops: 482964871.44
step: 384, loss: 2.9722, flops: 481789419.02
step: 385, loss: 3.1498, flops: 480609081.40
step: 386, loss: 3.0395, flops: 479416593.93
step: 387, loss: 3.0199, flops: 478240497.80
step: 388, loss: 3.0075, flops: 477079667.69
step: 389, loss: 2.9676, flops: 475931961.33
step: 390, loss: 3.0265, flops: 474784135.48
step: 391, loss: 3.0827, flops: 473634631.42
step: 392, loss: 3.0315, flops: 472485561.15
step: 393, loss: 2.9742, flops: 471365147.26
step: 394, loss: 3.0835, flops: 470250372.56
step: 395, loss: 3.0784, flops: 469127400.95
step: 396, loss: 2.9092, flops: 467997838.26
step: 397, loss: 2.8400, flops: 466902914.26
step: 398, loss: 3.1022, flops: 465795633.49
step: 399, loss: 2.9302, flops: 464694912.59
step: 400, loss: 3.0497, flops: 463601024.37
step: 401, loss: 3.1781, flops: 462511402.06
step: 402, loss: 2.9663, flops: 461415390.08
step: 403, loss: 2.8925, flops: 460322076.91
step: 404, loss: 3.0815, flops: 459252846.58
step: 405, loss: 3.1431, flops: 458011921.61
step: 406, loss: 2.9135, flops: 456882003.15
step: 407, loss: 3.1947, flops: 455826029.12
step: 408, loss: 3.1266, flops: 454784936.84
step: 409, loss: 3.0512, flops: 453715964.93
step: 410, loss: 2.9491, flops: 452673096.82
step: 411, loss: 2.9627, flops: 451638233.78
step: 412, loss: 2.9996, flops: 450622162.86
step: 413, loss: 3.0769, flops: 449612095.55
step: 414, loss: 3.2333, flops: 448608084.42
step: 415, loss: 3.1020, flops: 447589967.86
step: 416, loss: 2.8996, flops: 446568840.76
step: 417, loss: 3.0568, flops: 445565714.90
step: 418, loss: 3.0199, flops: 444292427.05
step: 419, loss: 3.1636, flops: 443197778.83
step: 420, loss: 2.9921, flops: 441574129.33
step: 421, loss: 3.0641, flops: 440593787.11
step: 422, loss: 2.9230, flops: 439619363.82
step: 423, loss: 3.0198, flops: 438629143.15
step: 424, loss: 3.0360, flops: 437650497.79
step: 425, loss: 2.9318, flops: 436665424.85
step: 426, loss: 3.0581, flops: 435702477.35
step: 427, loss: 2.8935, flops: 434742515.59
step: 428, loss: 2.7895, flops: 433776419.61
step: 429, loss: 3.0133, flops: 432790746.08
step: 430, loss: 2.9357, flops: 431832820.53
step: 431, loss: 2.9033, flops: 430886883.49
step: 432, loss: 2.8758, flops: 429939995.32
step: 433, loss: 2.9922, flops: 428999979.19
step: 434, loss: 3.0052, flops: 428055941.66
step: 435, loss: 3.0223, flops: 427109357.13
step: 436, loss: 3.0048, flops: 426166209.49
step: 437, loss: 2.9598, flops: 425248686.59
step: 438, loss: 2.9907, flops: 424344923.36
step: 439, loss: 2.9524, flops: 423438049.87
step: 440, loss: 3.0053, flops: 422521671.80
step: 441, loss: 3.0425, flops: 421623290.94
step: 442, loss: 3.0652, flops: 420725745.86
step: 443, loss: 3.0139, flops: 419828511.39
step: 444, loss: 3.1062, flops: 418899863.70
step: 445, loss: 3.1582, flops: 418000420.19
step: 446, loss: 3.0281, flops: 417126551.04
step: 447, loss: 3.0294, flops: 416245645.41
step: 448, loss: 3.1199, flops: 415359222.01
step: 449, loss: 2.9864, flops: 414456258.79
step: 450, loss: 2.8853, flops: 413576299.19
step: 451, loss: 3.1583, flops: 412703973.70
step: 452, loss: 2.9341, flops: 411842752.85
step: 453, loss: 3.0308, flops: 410972639.57
step: 454, loss: 2.9973, flops: 410117336.35
step: 455, loss: 3.0164, flops: 409259952.90
step: 456, loss: 2.9390, flops: 408417535.81
step: 457, loss: 3.0403, flops: 407567999.17
step: 458, loss: 2.8810, flops: 406731683.03
step: 459, loss: 2.9652, flops: 405901898.21
step: 460, loss: 2.9102, flops: 405059356.25
step: 461, loss: 3.1971, flops: 404225633.32
step: 462, loss: 2.9904, flops: 403385053.93
step: 463, loss: 2.9493, flops: 402558862.66
step: 464, loss: 2.9233, flops: 401693865.86
step: 465, loss: 3.0115, flops: 400874171.21
step: 466, loss: 3.1257, flops: 400073473.47
step: 467, loss: 2.9832, flops: 399270444.21
step: 468, loss: 2.9812, flops: 398461894.63
step: 469, loss: 3.0766, flops: 397658466.39
step: 470, loss: 3.0132, flops: 396847437.89
step: 471, loss: 2.9407, flops: 396032917.69
step: 472, loss: 2.9702, flops: 395229693.49
step: 473, loss: 2.8182, flops: 394440026.55
step: 474, loss: 3.0967, flops: 393648060.60
step: 475, loss: 2.9025, flops: 392842439.75
step: 476, loss: 3.0342, flops: 392071673.11
step: 477, loss: 3.0702, flops: 391297917.53
step: 478, loss: 3.0647, flops: 390509958.75
step: 479, loss: 2.9440, flops: 389738479.03
step: 480, loss: 3.0850, flops: 388972971.09
step: 481, loss: 2.9397, flops: 388221215.63
step: 482, loss: 2.9094, flops: 387457137.33
step: 483, loss: 2.9485, flops: 386700251.51
step: 484, loss: 2.9017, flops: 385938271.88
step: 485, loss: 2.9441, flops: 385154494.77
step: 486, loss: 3.0003, flops: 384402955.70
step: 487, loss: 3.0814, flops: 383652993.82
step: 488, loss: 3.0163, flops: 382920297.05
step: 489, loss: 3.1169, flops: 382145145.99
step: 490, loss: 3.1410, flops: 381386689.72
step: 491, loss: 2.8186, flops: 380631385.79
step: 492, loss: 2.9518, flops: 379900834.18
step: 493, loss: 3.0057, flops: 379173594.34
step: 494, loss: 2.8940, flops: 378440522.12
step: 495, loss: 2.9593, flops: 377706135.47
step: 496, loss: 2.9630, flops: 376991683.42
step: 497, loss: 3.1704, flops: 376279279.82
step: 498, loss: 2.8998, flops: 375566257.49
step: 499, loss: 2.9807, flops: 374843187.97
step: 500, loss: 3.2367, flops: 374128175.07
step: 501, loss: 3.0942, flops: 373420645.22
step: 502, loss: 2.9699, flops: 372714087.57
step: 503, loss: 2.8306, flops: 371992147.22
step: 504, loss: 2.9309, flops: 371293438.52
step: 505, loss: 3.0332, flops: 370594410.42
step: 506, loss: 2.9958, flops: 369913348.15
step: 507, loss: 2.9806, flops: 369224503.47
step: 508, loss: 3.0206, flops: 368489642.80
step: 509, loss: 3.1485, flops: 367784373.10
step: 510, loss: 3.1463, flops: 367092715.34
step: 511, loss: 3.0475, flops: 366410221.39
step: 512, loss: 3.0427, flops: 365715880.11
step: 513, loss: 3.1100, flops: 365036250.78
step: 514, loss: 3.0455, flops: 364346019.89
step: 515, loss: 3.1771, flops: 363518083.15
step: 516, loss: 3.0116, flops: 362803526.49
step: 517, loss: 3.0786, flops: 362132196.11
step: 518, loss: 2.8905, flops: 361466208.35
step: 519, loss: 3.2245, flops: 360806181.32
step: 520, loss: 2.9604, flops: 360125892.26
step: 521, loss: 2.9037, flops: 359472129.19
step: 522, loss: 2.8870, flops: 358724583.99
step: 523, loss: 2.9518, flops: 358054335.59
step: 524, loss: 2.8408, flops: 357404160.10
step: 525, loss: 2.9359, flops: 356754525.72
step: 526, loss: 2.9699, flops: 356121400.30
step: 527, loss: 3.0568, flops: 355477833.09
step: 528, loss: 2.9644, flops: 354832161.00
step: 529, loss: 3.1163, flops: 354194007.99
step: 530, loss: 2.8848, flops: 353550120.86
step: 531, loss: 3.0979, flops: 352923103.71
step: 532, loss: 2.8782, flops: 352230081.92
step: 533, loss: 3.0118, flops: 351537509.62
step: 534, loss: 2.9122, flops: 350893699.57
step: 535, loss: 2.8989, flops: 350253118.51
step: 536, loss: 2.9157, flops: 349628636.91
step: 537, loss: 2.8524, flops: 349016433.09
step: 538, loss: 3.1442, flops: 348402225.41
step: 539, loss: 2.9573, flops: 347778465.73
step: 540, loss: 3.0866, flops: 347147662.97
step: 541, loss: 3.0451, flops: 346537255.79
step: 542, loss: 3.1077, flops: 345932954.92
step: 543, loss: 3.0329, flops: 345328388.16
step: 544, loss: 2.8959, flops: 344722842.70
step: 545, loss: 3.1986, flops: 344108858.13
step: 546, loss: 3.0341, flops: 343445300.03
step: 547, loss: 2.8752, flops: 342805671.85
step: 548, loss: 2.9662, flops: 342197596.59
step: 549, loss: 2.7579, flops: 341590545.07
step: 550, loss: 2.9560, flops: 340992397.65
step: 551, loss: 2.9571, flops: 340400828.54
step: 552, loss: 3.0455, flops: 339818369.15
step: 553, loss: 3.0447, flops: 339224823.50
step: 554, loss: 3.0538, flops: 338641820.36
step: 555, loss: 2.9520, flops: 338049986.64
step: 556, loss: 2.8501, flops: 337464163.83
step: 557, loss: 3.0161, flops: 336886150.76
step: 558, loss: 2.9400, flops: 336316742.17
step: 559, loss: 3.1377, flops: 335746210.89
step: 560, loss: 2.9629, flops: 335171887.69
step: 561, loss: 3.0635, flops: 334609680.70
step: 562, loss: 3.0793, flops: 334034175.75
step: 563, loss: 2.9164, flops: 333473905.91
step: 564, loss: 2.8721, flops: 332902749.66
step: 565, loss: 3.0526, flops: 332338611.57
step: 566, loss: 3.0365, flops: 331777504.01
step: 567, loss: 2.9041, flops: 331227344.00
step: 568, loss: 2.8976, flops: 330641678.61
step: 569, loss: 2.9895, flops: 330084560.64
step: 570, loss: 2.8823, flops: 329527823.00
step: 571, loss: 2.9128, flops: 328977041.01
step: 572, loss: 2.9501, flops: 328409520.96
step: 573, loss: 2.9302, flops: 327865370.84
step: 574, loss: 2.9125, flops: 327317398.00
step: 575, loss: 2.7919, flops: 326771852.29
step: 576, loss: 2.9536, flops: 326232297.73
